MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,Other,SBrkr,TA,TA,CBlock,None,None,None,None,906,None,0,134,1040,GasA,Ex,Y,,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,None,None,Other,None,1,384,None,None,Y,0,0,0,0,0,0,None,None,None,0,2,2008,WD,Normal,129500.0
60,RL,11924,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Other,SBrkr,Ex,TA,PConc,None,None,None,None,998,None,0,177,1175,GasA,Ex,Y,,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,None,None,Other,None,3,736,None,None,Y,147,21,0,0,0,0,None,None,None,0,7,2006,New,Partial,345000.0
20,RL,12968,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,Other,SBrkr,TA,TA,CBlock,None,None,None,None,737,None,0,175,912,GasA,TA,Y,,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,None,None,Other,None,1,352,None,None,Y,140,0,0,0,176,0,None,None,None,0,9,2008,WD,Normal,144000.0
20,RL,10652,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,0,None,0,1494,1494,GasA,Ex,Y,,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,None,None,Other,None,3,840,None,None,Y,160,33,0,0,0,0,None,None,None,0,8,2007,New,Partial,279500.0
20,RL,10920,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,Other,SBrkr,TA,TA,CBlock,None,None,None,None,733,None,0,520,1253,GasA,TA,Y,,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,None,None,Other,None,1,352,None,None,Y,0,213,176,0,0,0,None,None,None,0,5,2008,WD,Normal,157000.0
45,RM,6120,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,Other,SBrkr,TA,TA,BrkTil,None,None,None,None,0,None,0,832,832,GasA,Ex,Y,,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,None,None,Other,None,2,576,None,None,Y,48,112,0,0,0,0,None,None,None,0,7,2007,WD,Normal,132000.0
20,RL,11241,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,Other,SBrkr,TA,TA,CBlock,None,None,None,None,578,None,0,426,1004,GasA,Ex,Y,,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,None,None,Other,None,2,480,None,None,Y,0,0,0,0,0,0,None,None,None,700,3,2010,WD,Normal,149000.0
90,RL,10791,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,Other,SBrkr,TA,TA,Slab,None,None,None,None,0,None,0,0,0,GasA,TA,Y,,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,None,None,Other,None,2,516,None,None,Y,0,0,0,0,0,0,None,None,None,500,10,2006,WD,Normal,90000.0
20,RL,13695,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,TA,TA,PConc,None,None,None,None,646,None,0,468,1114,GasA,Ex,Y,,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,None,None,Other,None,2,576,None,None,Y,0,102,0,0,0,0,None,None,None,0,6,2008,WD,Normal,159000.0
20,RL,7560,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,Other,SBrkr,TA,TA,CBlock,None,None,None,None,504,None,0,525,1029,GasA,TA,Y,,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,None,None,Other,None,1,294,None,None,Y,0,0,0,0,0,0,None,None,None,0,5,2009,COD,Abnorml,139000.0
60,RL,14215,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,0,None,0,1158,1158,GasA,Ex,Y,,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,None,None,Other,None,3,853,None,None,Y,240,154,0,0,0,0,None,None,None,0,11,2006,New,Partial,325300.0
45,RM,7449,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Other,SBrkr,TA,TA,PConc,None,None,None,None,0,None,0,637,637,GasA,Ex,Y,,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,None,None,Other,None,1,280,None,None,N,0,0,205,0,0,0,None,None,None,0,6,2007,WD,Normal,139400.0
20,RL,9742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,0,None,0,1777,1777,GasA,Ex,Y,,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,None,None,Other,None,2,534,None,None,Y,171,159,0,0,0,0,None,None,None,0,9,2008,WD,Normal,230000.0
120,RM,4224,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,Other,SBrkr,TA,TA,PConc,None,None,None,None,840,None,0,200,1040,GasA,TA,Y,,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,None,None,Other,None,2,572,None,None,Y,100,110,0,0,0,0,None,None,None,0,6,2007,WD,Normal,129900.0
20,RL,8246,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,Other,SBrkr,TA,Gd,CBlock,None,None,None,None,188,None,668,204,1060,GasA,Ex,Y,,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,None,None,Other,None,1,270,None,None,Y,406,90,0,0,0,0,None,None,None,0,5,2010,WD,Normal,154000.0
20,RL,14230,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,0,None,0,1566,1566,GasA,Ex,Y,,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,None,None,Other,None,3,890,None,None,Y,0,56,0,0,0,0,None,None,None,0,7,2009,WD,Normal,256300.0
20,RL,7200,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,Other,SBrkr,TA,TA,CBlock,None,None,None,None,234,None,486,180,900,GasA,TA,Y,,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,None,None,Other,None,2,576,None,None,Y,222,32,0,0,0,0,None,None,None,0,5,2010,WD,Normal,134800.0
20,RL,11478,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,1218,None,0,486,1704,GasA,Ex,Y,,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,None,None,Other,None,3,772,None,None,Y,0,50,0,0,0,0,None,None,None,0,5,2010,WD,Normal,306000.0
20,RL,16321,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,Other,SBrkr,TA,TA,CBlock,None,None,None,None,1277,None,0,207,1484,GasA,TA,Y,,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,None,None,Other,None,1,319,None,None,Y,288,258,0,0,0,0,None,None,None,0,12,2006,WD,Normal,207500.0
30,RM,6324,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,Other,SBrkr,TA,TA,BrkTil,None,None,None,None,0,None,0,520,520,GasA,Fa,N,,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,None,None,Other,None,1,240,None,None,Y,49,0,87,0,0,0,None,None,None,0,5,2008,WD,Normal,68500.0
70,C (all),8500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,Other,SBrkr,TA,Fa,BrkTil,None,None,None,None,0,None,0,649,649,GasA,TA,N,,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,None,None,Other,None,1,250,None,None,N,0,54,172,0,0,0,None,None,None,0,7,2008,WD,Normal,40000.0
20,RL,8544,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,Other,SBrkr,TA,TA,CBlock,None,None,None,None,0,None,0,1228,1228,GasA,Gd,Y,,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,None,None,Other,None,1,271,None,None,Y,0,65,0,0,0,0,None,None,None,0,6,2008,WD,Normal,149350.0
20,RL,11049,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,0,None,0,1234,1234,GasA,Ex,Y,,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,None,None,Other,None,2,484,None,None,Y,0,30,0,0,0,0,None,None,None,0,1,2008,WD,Normal,179900.0
20,RL,10552,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,Other,SBrkr,TA,TA,CBlock,None,None,None,None,1018,None,0,380,1398,GasA,Gd,Y,,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,None,None,Other,None,2,447,None,None,Y,0,38,0,0,0,0,None,None,None,0,4,2010,WD,Normal,165500.0
120,RL,7313,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Other,SBrkr,Ex,TA,PConc,None,None,None,None,1153,None,0,408,1561,GasA,Ex,Y,,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,None,None,Other,None,2,556,None,None,Y,203,47,0,0,0,0,None,None,None,0,8,2007,WD,Normal,277500.0
60,RL,13418,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,0,None,0,1117,1117,GasA,Ex,Y,,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,None,None,Other,None,3,691,None,None,Y,113,32,0,0,0,0,None,None,None,0,9,2006,WD,Normal,309000.0
20,RL,10859,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,TA,TA,PConc,None,None,None,None,0,None,0,1097,1097,GasA,Ex,Y,,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,None,None,Other,None,2,672,None,None,Y,392,64,0,0,0,0,None,None,None,0,6,2009,WD,Normal,145000.0
20,RL,8532,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,Other,SBrkr,TA,TA,CBlock,None,None,None,None,1213,None,0,84,1297,GasA,Gd,Y,,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,None,None,Other,None,2,498,None,None,Y,0,0,0,0,0,0,None,None,None,0,10,2009,WD,Normal,153000.0
20,RL,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,TA,Gd,CBlock,None,None,None,None,731,None,0,326,1057,GasA,TA,Y,,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,None,None,Other,None,1,246,None,None,Y,0,52,0,0,0,0,None,None,None,0,1,2010,WD,Abnorml,109000.0
90,RL,6040,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,Other,SBrkr,TA,TA,PConc,None,None,None,None,0,None,0,0,0,GasA,TA,N,,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,None,None,Other,None,0,0,None,None,N,0,0,0,0,0,0,None,None,None,0,6,2008,WD,AdjLand,82000.0
20,RL,8658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,Other,SBrkr,TA,TA,CBlock,None,None,None,None,643,None,0,445,1088,GasA,Ex,Y,,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,None,None,Other,None,2,440,None,None,Y,0,138,0,0,0,0,None,None,None,0,12,2006,WD,Abnorml,160000.0
20,RL,16905,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,TA,Gd,CBlock,None,None,None,None,967,None,0,383,1350,GasA,Gd,Y,,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,None,None,Other,None,1,308,None,None,P,0,104,0,0,0,0,None,None,None,0,7,2007,WD,Normal,170000.0
85,RL,9180,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,Other,SBrkr,TA,TA,CBlock,None,None,None,None,747,None,93,0,840,GasA,Gd,Y,,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,None,None,Other,None,2,504,None,None,Y,240,0,0,0,0,0,None,None,None,0,12,2007,WD,Normal,144000.0
20,RL,9200,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,Other,SBrkr,TA,TA,CBlock,None,None,None,None,280,None,491,167,938,GasA,TA,Y,,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,None,None,Other,None,1,308,None,None,Y,145,0,0,0,0,0,None,None,None,0,7,2008,WD,Normal,130250.0
20,RL,7945,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,Other,SBrkr,TA,TA,CBlock,None,None,None,None,179,None,506,465,1150,GasA,Ex,Y,,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,None,None,Other,None,1,300,None,None,Y,0,0,0,0,0,0,None,None,None,0,5,2006,WD,Normal,141000.0
120,RL,7658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,Other,SBrkr,Ex,TA,PConc,None,None,None,None,456,None,0,1296,1752,GasA,Ex,Y,,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,None,None,Other,None,2,576,None,None,Y,196,82,0,0,0,0,None,None,None,0,2,2010,WD,Normal,319900.0
50,RL,12822,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,1351,None,0,83,1434,GasA,Ex,Y,,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,None,None,Other,None,2,670,None,None,Y,168,43,0,0,198,0,None,None,None,0,8,2009,WD,Abnorml,239686.0
20,FV,11096,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,Gd,TA,PConc,None,None,None,None,24,None,0,1632,1656,GasA,Ex,Y,,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,None,None,Other,None,3,826,None,None,Y,0,146,0,0,0,0,None,None,None,0,7,2007,WD,Normal,249700.0
190,RM,4456,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,Other,SBrkr,TA,TA,BrkTil,None,None,None,None,0,None,0,736,736,GasA,Gd,Y,,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,None,None,Other,None,0,0,None,None,N,0,0,102,0,0,0,None,None,None,0,6,2009,New,Partial,113000.0
20,RL,7742,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,Other,SBrkr,TA,TA,CBlock,None,None,None,None,763,None,0,192,955,GasA,Ex,Y,,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,None,None,Other,None,1,386,None,None,Y,0,0,0,0,0,0,None,None,None,0,1,2007,WD,Normal,127000.0
60,RL,13869,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,Other,SBrkr,TA,TA,PConc,None,None,None,None,182,None,0,612,794,GasA,Gd,Y,,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,None,None,Other,None,2,388,None,None,Y,0,75,0,0,0,0,None,None,None,0,7,2007,WD,Normal,177000.0
50,RM,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Other,SBrkr,TA,TA,PConc,None,None,None,None,0,None,0,816,816,GasA,TA,Y,,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,None,None,Other,None,2,528,None,None,Y,112,0,0,0,0,0,None,None,None,400,9,2006,WD,Normal,114500.0
90,RM,8472,Grvl,None,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,Other,SBrkr,Fa,TA,CBlock,None,None,None,None,104,None,712,0,816,GasA,TA,N,,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,None,None,Other,None,2,516,None,None,Y,106,0,0,0,0,0,None,None,None,0,5,2010,WD,Normal,110000.0
20,RL,50271,Pave,None,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,Other,SBrkr,Gd,TA,CBlock,None,None,None,None,1810,None,0,32,1842,GasA,Gd,Y,,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,None,None,Other,None,3,894,None,None,Y,857,72,0,0,0,0,None,None,None,0,11,2006,WD,Normal,385000.0
80,RL,7134,Pave,None,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,Other,SBrkr,TA,TA,CBlock,None,None,None,None,384,None,0,0,384,GasA,TA,Y,,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,None,None,Other,None,2,572,None,None,Y,0,50,0,0,0,0,None,None,None,0,2,2007,WD,Normal,130000.0
